row_idx,AUC_P_Cell_death,AUC_P_Hepatocyte_injury,AUC_P_Inflammation
488,29124.75591896499,26798.145806164965,28343.36545809926
489,28442.688750946392,26797.923062547095,28343.365460091372
494,25703.96846884548,27077.99411781963,28343.36546110719
493,28442.052398779408,27083.59841173088,28343.365460125286
492,28442.688750862224,27083.598431577855,28343.365460305315
495,25371.98658305213,27077.990419553484,28343.365456788062
496,25371.98657607534,27077.99041941778,28343.365451796377
497,25626.538155861657,27078.233164130812,28400.588525667343
498,25626.53816310581,27078.233162922603,28400.588525667357
499,25626.53816283248,27078.233166219776,29554.05624239333
500,25630.767124775277,27078.233174187655,29554.056242411934
501,25630.767123170113,27078.23317276124,29554.056242434835
502,25630.767121223096,27078.233180318854,29554.056242477123
503,25630.767120819262,27078.233180459843,29554.056242399234
504,25630.767125653456,26387.171995122837,29554.056242393526
505,25630.76711452787,27623.108968580767,29554.056242403516
506,25630.73354029397,27623.107081320017,29554.05624231327
507,25630.733534944546,27623.10707336565,29554.056243212664
508,25630.73353720442,27623.107075480966,29554.056243194682
509,25515.915429166304,27622.98301437359,29543.3395535423
510,25515.86633814074,27622.954058835443,29543.33955308898
511,25515.811850002116,27622.951026626164,29543.339553106307
513,25515.746993083096,27622.950589155633,29543.339553054124
512,25515.7469777968,27622.950589161857,29543.33955311656
514,25515.746978525636,27622.950589161846,29543.339553116555
515,25515.747030788712,27622.95058873092,29543.339552988247
517,25515.7470009685,27667.198201883588,29543.33955300574
516,25515.746985487596,27667.19820332621,29543.339552994363
518,25515.74699069447,27852.32938366733,29543.339553261707
519,25796.13809377367,27852.357758129954,29561.00875569072
520,25796.138147851685,26783.322683561906,29561.008755618728
521,25796.13814878877,26783.322683572864,29561.00875564395
522,25796.081308360197,26783.317919562443,29561.008755020895
