row_idx,AUC_P_Cell_death,AUC_P_Hepatocyte_injury,AUC_P_Inflammation
213,29128.996844718735,27093.084189557416,29407.824633976074
214,29096.450925694917,27087.52758372153,29378.080270888444
215,29096.450925689805,27087.527584273514,29378.080270913757
216,29096.450925651945,28626.73675151918,29378.08027085052
217,29096.455528296538,28626.738231734886,29378.080270885686
218,29096.45552818916,28495.995130282157,29378.08027105508
219,29096.45552818916,28495.995130282157,29378.08027105508
220,29096.455528189148,28495.995130281648,29378.080271065854
221,29098.384789821135,28505.58217829608,29378.08027135778
222,29127.936796505397,28508.764700725063,29403.415974962343
223,29127.936796505397,28508.764700725063,29403.415974928794
224,29127.93679660718,28114.857801748556,29403.415974755786
226,29127.928965271727,27998.75577858512,29403.41597385212
227,29127.928965271727,27998.755778585095,29403.415973865354
225,29127.92896517807,28114.773544224343,29403.41597367633
231,28462.145515396827,28237.131259485817,29403.415973929223
228,29127.928965271723,27998.755778585117,29403.415973925832
229,29127.92896527169,28237.35319343735,29403.415973910865
230,28462.14551539853,28237.13125948519,29403.41597395266
233,28462.145517907913,28237.131263317424,29360.366138843587
234,25766.43363732112,28214.630821976218,29360.366139010497
232,28462.145519011607,28237.131266224445,29403.415973317948
235,25672.833748500092,28214.102543737008,29347.73251421083
236,27835.557928043876,28341.622292582164,29275.993423309563
238,27835.557928010523,28355.060140906542,29275.99342372418
237,27835.5579278725,28341.622293804,29275.993423211527
239,27835.557928248767,28355.06014211099,29310.591449566367
240,28010.56078236278,28370.082465259286,29446.304673871826
242,28113.455964434295,28377.794214539015,29500.236399780086
241,28113.455964434277,28377.79421453901,29500.236399780093
243,28173.876817757053,28383.53223781474,29529.928247208423
244,28179.351517533425,28383.539750795117,29529.928248231634
247,28173.774495119178,28267.426195499196,29529.92824746222
245,28173.774495090627,28343.726415599132,29529.928247497744
246,28173.774495090627,28343.726415599132,29529.928247497744
249,28235.814645548904,28273.915440450997,29558.313718965637
248,28173.77449511955,28267.42619549919,29529.92824745464
251,28235.814645443526,28448.866371615055,29558.313718932804
250,28235.814645530285,28448.8663716671,29558.313718960366
252,28235.814645469,28448.86637174303,29558.313718962338
253,28235.81464546948,28448.866371743014,29558.31371899026
254,28235.718385968074,28448.853606296358,29558.313718890073
255,28235.718385079585,24547.870853499582,29558.31371887121
256,28235.71838506125,24598.489240268587,29558.313718864218
257,28235.694329371094,24598.28842165479,29558.313718858248
258,28235.694329370875,24598.288409198947,29558.313718829984
259,28250.20327560417,24598.290642101092,29558.31371891313
260,28250.171110252813,24598.28699336732,29558.313718891506
261,28925.538399016015,24725.661412299705,29558.31371885836
263,28917.384225072354,24725.65937913485,29558.31371901327
262,28925.538398998135,24725.661399703928,29558.313719285197
264,28917.384220777814,25060.333125315734,29558.31371900532
265,27473.222872879116,25060.31975925037,29558.313718712998
267,27473.222898457243,25060.319737218153,29558.313718718306
266,27473.222872856277,25060.319792388767,29558.313718719437
268,27473.222905245544,25060.31977034046,29558.313718708625
269,27473.222906826464,25060.319854628426,29558.313718682097
271,27473.222906820083,16289.633767802228,29558.31371855939
270,27473.22290577361,25060.31974678,29558.313718710924
272,27473.222906815387,16289.633699335118,29558.313718551322
273,27473.222906279116,16294.851181178143,29558.313718590893
275,27473.22290716064,16294.851111895883,28422.517373167124
276,27473.206751798243,16294.838348473735,28422.517373165232
274,27473.22290494652,16294.851141936659,29558.313718539983
277,27473.206751832106,16294.83846021777,28422.51737274355
279,27471.65375074569,16294.851812452362,28422.51737451515
278,27471.63561724141,16294.838391620422,28422.517374534338
280,27471.65375074864,16294.85199275352,28422.517374517232
281,27471.653750736346,16294.85202179413,28422.517374517513
283,27509.451361990228,16295.308227532918,28442.956281889834
282,27471.653750745827,16294.852011036282,28422.51737451539
284,27509.451362204956,16295.3082663994,28442.956278627345
285,27509.45136260549,16295.308250249986,28442.956278272395
286,27509.451361809854,16295.308297946583,28442.956277565827
287,27509.456785334623,16295.318321290812,28442.956277568042
288,27509.45678500043,16295.318336071836,28442.956278421105
289,27509.456785071612,16897.49223643046,28442.956281757288
290,27509.4567853641,27489.901501345485,28442.956276060497
291,27509.4567853641,27489.901501345485,28442.956276060497
292,27509.456785139962,27438.049346766053,28442.956279306014
293,27509.456785316765,27420.35285059665,28442.95627930056
294,27509.456785155235,27441.211306968773,28442.956280816732
295,27583.01136117107,28087.346266067623,27947.40386314842
296,27713.833063181817,28091.85250162563,28057.040466860395
298,27713.833062664635,28091.85248045279,28057.04046394741
297,27713.833063181817,28091.85250162563,28057.040466860395
299,27713.833062761794,28168.36649445225,28057.040465232858
300,27713.83306281149,28211.663369549842,28057.040466209346
301,27713.83306281149,28211.663369549842,28057.040466209346
303,27556.88110332038,28205.32525172481,27925.529544160956
302,27713.834677465962,28211.673847187667,28057.04046656157
304,27665.221975416534,28205.37739471204,27925.529543982175
306,27665.221976062017,28187.818794593048,27925.52954448237
307,27665.22197591918,28177.547813201934,27925.529544442914
305,27665.221975669247,28187.818794611045,27925.52954471184
308,27666.05373376792,28177.990876606436,27925.529543855744
309,27666.05373356227,28177.738177779924,27925.529543762117
310,27666.05373356213,28177.738177779916,27925.529543762095
